G,Date,Years,Days,Age,Team,Opp,Outcome,Score Dif,Minutes,Seconds,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Season
58,3/10/2008,23,71,23.19452055,CLE,POR,W ,8,43,41,43.68333333,7,18,0.389,1,4,0.25,9,13,0.692,1,9,10,11,1,2,4,0,24,22.1,10,2008
59,3/12/2008,23,73,23.2,CLE,NJN,L ,-5,45,41,45.68333333,12,23,0.522,2,7,0.286,16,23,0.696,3,8,11,7,1,2,6,5,42,31.7,-4,2008
60,3/13/2008,23,74,23.20273973,CLE,WAS,L ,-2,43,23,43.38333333,9,22,0.409,1,7,0.143,6,8,0.75,2,5,7,7,0,0,7,4,25,11.6,3,2008
61,3/16/2008,23,77,23.2109589,CLE,CHA,W ,7,41,40,41.66666667,11,24,0.458,1,3,0.333,10,16,0.625,2,5,7,10,1,2,1,2,33,28.7,17,2008
62,3/17/2008,23,78,23.21369863,CLE,ORL,L ,-14,42,14,42.23333333,11,22,0.5,1,4,0.25,7,11,0.636,2,7,9,6,0,1,3,1,30,22.4,-7,2008
63,3/19/2008,23,80,23.21917808,CLE,DET,W ,16,41,4,41.06666667,11,19,0.579,2,5,0.4,6,7,0.857,3,4,7,6,1,1,0,0,30,29.9,15,2008
64,3/21/2008,23,82,23.22465753,CLE,TOR,W ,7,41,24,41.4,14,22,0.636,1,3,0.333,0,0,,0,12,12,5,1,0,5,1,29,21.9,-3,2008
65,3/22/2008,23,83,23.22739726,CLE,MIL,L ,-10,38,35,38.58333333,9,25,0.36,3,9,0.333,8,10,0.8,4,7,11,4,2,0,4,3,29,18.8,-12,2008
66,3/26/2008,23,87,23.23835616,CLE,NOH,L ,-1,40,33,40.55,6,14,0.429,1,2,0.5,8,10,0.8,0,3,3,8,2,2,2,2,21,19.9,-3,2008
67,3/29/2008,23,90,23.24657534,CLE,DET,L ,-14,35,18,35.3,4,17,0.235,1,5,0.2,4,6,0.667,0,4,4,5,0,0,5,0,13,1.6,-19,2008
68,3/30/2008,23,91,23.24931507,CLE,PHI,W ,3,41,47,41.78333333,11,18,0.611,1,2,0.5,3,3,1,3,6,9,9,3,1,1,4,26,29.1,7,2008
69,4/2/2008,23,94,23.25753425,CLE,CHA,W ,4,31,13,31.21666667,11,19,0.579,1,4,0.25,6,6,1,2,2,4,5,3,2,4,6,29,23.6,3,2008
70,4/3/2008,23,95,23.26027397,CLE,CHI,L ,-3,38,30,38.5,10,24,0.417,3,7,0.429,10,14,0.714,0,5,5,4,2,2,3,4,33,21.7,-1,2008
71,4/5/2008,23,97,23.26575342,CLE,ORL,L ,-15,42,22,42.36666667,6,22,0.273,1,5,0.2,4,8,0.5,5,2,7,9,2,2,5,1,17,10.8,-15,2008
72,4/9/2008,23,101,23.27671233,CLE,NJN,W ,21,35,22,35.36666667,11,21,0.524,1,4,0.25,10,13,0.769,4,3,7,8,1,2,0,2,33,32.4,10,2008
73,4/11/2008,23,103,23.28219178,CLE,CHI,L ,-5,38,11,38.18333333,13,21,0.619,2,6,0.333,6,12,0.5,0,6,6,2,3,0,3,2,34,24.5,-10,2008
74,4/13/2008,23,105,23.28767123,CLE,MIA,W ,8,35,15,35.25,3,9,0.333,0,1,0,7,9,0.778,0,11,11,7,1,2,5,1,13,12.3,-3,2008
75,4/14/2008,23,106,23.29041096,CLE,PHI,W ,1,41,41,41.68333333,10,18,0.556,1,2,0.5,6,12,0.5,1,3,4,5,2,1,5,3,27,17.6,-5,2008
,4/16/2008,23,108,23.29589041,CLE,DET,L ,-10,Inactive,,#VALUE!,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2008
1,10/28/2008,23,303,23.83013699,CLE,BOS,L ,-5,36,0,36,9,21,0.429,0,4,0,4,8,0.5,1,6,7,6,2,1,3,4,22,14.1,-3,2009
2,10/30/2008,23,305,23.83561644,CLE,CHA,W ,17,30,16,30.26666667,7,15,0.467,0,2,0,8,12,0.667,2,7,9,9,0,1,5,3,22,17,10,2009
3,11/1/2008,23,307,23.84109589,CLE,NOH,L ,-12,37,43,37.71666667,6,15,0.4,0,3,0,3,4,0.75,2,5,7,13,3,0,5,3,15,15.3,-8,2009
4,11/3/2008,23,309,23.84657534,CLE,DAL,W ,19,34,8,34.13333333,8,20,0.4,0,2,0,13,15,0.867,2,6,8,3,2,1,1,1,29,24,13,2009
5,11/5/2008,23,311,23.85205479,CLE,CHI,W ,14,35,50,35.83333333,13,23,0.565,0,2,0,15,16,0.938,2,7,9,6,4,0,5,1,41,36,22,2009
6,11/7/2008,23,313,23.85753425,CLE,IND,W ,4,39,20,39.33333333,11,24,0.458,1,6,0.167,4,7,0.571,2,7,9,8,1,4,4,2,27,21.5,-3,2009
7,11/8/2008,23,314,23.86027397,CLE,CHI,W ,9,39,12,39.2,13,29,0.448,4,7,0.571,11,13,0.846,4,9,13,4,0,0,2,1,41,31,12,2009
8,11/11/2008,23,317,23.86849315,CLE,MIL,W ,6,42,46,42.76666667,16,24,0.667,1,4,0.25,8,10,0.8,0,5,5,6,3,0,2,2,41,35.7,11,2009
9,11/13/2008,23,319,23.8739726,CLE,DEN,W ,11,38,2,38.03333333,10,20,0.5,0,0,,2,4,0.5,1,7,8,11,3,0,5,4,22,18.1,14,2009
10,11/15/2008,23,321,23.87945205,CLE,UTA,W ,12,42,3,42.05,13,21,0.619,3,7,0.429,9,11,0.818,3,2,5,7,2,2,2,2,38,35.9,33,2009
11,11/18/2008,23,324,23.88767123,CLE,NJN,W ,24,35,58,35.96666667,9,20,0.45,1,4,0.25,12,17,0.706,0,8,8,4,0,1,3,3,31,20.3,17,2009
12,11/19/2008,23,325,23.89041096,CLE,DET,L ,-7,39,30,39.5,8,21,0.381,0,4,0,9,10,0.9,1,5,6,6,4,0,3,1,25,20.1,-5,2009
13,11/22/2008,23,328,23.89863014,CLE,ATL,W ,14,36,35,36.58333333,8,19,0.421,1,4,0.25,7,7,1,1,6,7,8,2,0,2,3,24,20.8,16,2009
14,11/25/2008,23,331,23.90684932,CLE,NYK,W ,18,30,20,30.33333333,7,14,0.5,3,7,0.429,9,11,0.818,0,4,4,1,1,1,1,0,26,20.8,17,2009
15,11/26/2008,23,332,23.90958904,CLE,OKC,W ,35,17,8,17.13333333,7,12,0.583,0,1,0,0,0,,0,3,3,3,1,3,0,0,14,14.5,24,2009
16,11/28/2008,23,334,23.91506849,CLE,GSW,W ,15,30,39,30.65,9,13,0.692,3,4,0.75,2,4,0.5,1,6,7,8,3,1,2,2,23,25.7,24,2009
17,11/29/2008,23,335,23.91780822,CLE,MIL,W ,12,41,22,41.36666667,12,27,0.444,1,5,0.2,7,10,0.7,1,6,7,5,2,1,3,3,32,21.2,7,2009
18,12/3/2008,23,339,23.92876712,CLE,NYK,W ,36,28,9,28.15,5,10,0.5,1,4,0.25,10,10,1,0,5,5,6,5,1,0,0,21,27.4,30,2009
19,12/5/2008,23,341,23.93424658,CLE,IND,W ,24,37,37,37.61666667,4,12,0.333,0,4,0,3,4,0.75,2,6,8,11,1,3,2,2,11,15,32,2009
20,12/6/2008,23,342,23.9369863,CLE,CHA,W ,20,27,40,27.66666667,8,17,0.471,2,4,0.5,7,8,0.875,2,3,5,4,2,2,3,3,25,20.2,27,2009
21,12/9/2008,23,345,23.94520548,CLE,TOR,W ,20,30,24,30.4,11,18,0.611,2,5,0.4,7,8,0.875,0,5,5,4,3,0,2,1,31,27.3,19,2009
22,12/10/2008,23,346,23.94794521,CLE,PHI,W ,8,39,4,39.06666667,10,22,0.455,2,6,0.333,7,8,0.875,2,2,4,5,0,2,1,4,29,21.5,-1,2009
23,12/12/2008,23,348,23.95342466,CLE,PHI,W ,16,36,50,36.83333333,9,21,0.429,1,4,0.25,9,12,0.75,3,4,7,7,1,3,0,2,28,26.2,13,2009
24,12/13/2008,23,349,23.95616438,CLE,ATL,L ,-5,45,40,45.66666667,10,19,0.526,2,7,0.286,11,12,0.917,2,4,6,9,4,1,1,2,33,35.1,1,2009
25,12/17/2008,23,353,23.96712329,CLE,MIN,W ,23,39,38,39.63333333,14,20,0.7,2,6,0.333,2,4,0.5,0,6,6,3,2,2,0,1,32,29.7,22,2009
26,12/19/2008,23,355,23.97260274,CLE,DEN,W ,17,38,45,38.75,13,20,0.65,0,2,0,7,8,0.875,3,7,10,8,0,0,6,3,33,26.4,14,2009
27,12/21/2008,23,357,23.97808219,CLE,OKC,W ,11,42,46,42.76666667,14,24,0.583,2,4,0.5,1,2,0.5,2,2,4,7,3,1,3,1,31,26.6,16,2009
28,12/23/2008,23,359,23.98356164,CLE,HOU,W ,9,38,20,38.33333333,11,23,0.478,0,3,0,5,7,0.714,1,8,9,5,3,1,7,2,27,17,14,2009
29,12/25/2008,23,361,23.9890411,CLE,WAS,W ,4,38,13,38.21666667,6,13,0.462,0,2,0,6,10,0.6,0,5,5,6,3,1,3,1,18,15.7,-4,2009
30,12/28/2008,23,364,23.99726027,CLE,MIA,W ,7,42,31,42.51666667,12,19,0.632,2,4,0.5,7,12,0.583,0,6,6,9,0,1,2,1,33,28.9,8,2009
31,12/30/2008,24,0,24,CLE,MIA,L ,-9,43,29,43.48333333,12,24,0.5,3,8,0.375,11,14,0.786,0,2,2,7,0,2,5,2,38,25.9,-6,2009
32,1/2/2009,24,3,24.00821918,CLE,CHI,W ,25,37,16,37.26666667,3,8,0.375,2,3,0.667,8,8,1,1,9,10,11,2,3,5,1,16,21.4,27,2009
33,1/4/2009,24,5,24.01369863,CLE,WAS,L ,-3,40,46,40.76666667,11,22,0.5,3,9,0.333,5,8,0.625,0,6,6,10,1,2,7,4,30,20.4,0,2009
34,1/7/2009,24,8,24.02191781,CLE,CHA,W ,30,30,59,30.98333333,9,16,0.563,0,1,0,3,3,1,0,4,4,4,2,2,4,1,21,16.4,23,2009
35,1/9/2009,24,10,24.02739726,CLE,BOS,W ,15,35,49,35.81666667,13,25,0.52,3,7,0.429,9,9,1,1,6,7,6,4,3,3,2,38,34.7,20,2009
36,1/13/2009,24,14,24.03835616,CLE,MEM,W ,15,40,12,40.2,9,15,0.6,1,5,0.2,11,14,0.786,0,11,11,10,3,1,2,2,30,33.1,21,2009
37,1/15/2009,24,16,24.04383562,CLE,CHI,L ,-9,44,19,44.31666667,8,28,0.286,1,6,0.167,11,16,0.688,3,11,14,7,1,1,8,4,28,12,2,2009
38,1/16/2009,24,17,24.04657534,CLE,NOH,W ,14,42,59,42.98333333,12,24,0.5,0,2,0,5,6,0.833,3,11,14,7,3,1,4,3,29,25.4,19,2009
39,1/19/2009,24,20,24.05479452,CLE,LAL,L ,-17,42,10,42.16666667,9,25,0.36,1,5,0.2,4,8,0.5,2,7,9,4,4,1,6,1,23,12.1,-11,2009
40,1/21/2009,24,22,24.06027397,CLE,POR,W ,6,42,2,42.03333333,14,30,0.467,3,6,0.5,3,4,0.75,0,7,7,14,1,0,2,1,34,28.7,14,2009
41,1/23/2009,24,24,24.06575342,CLE,GSW,W ,1,40,39,40.65,10,24,0.417,2,5,0.4,10,16,0.625,2,7,9,8,3,2,2,2,32,27.5,12,2009
42,1/24/2009,24,25,24.06849315,CLE,UTA,W ,5,41,8,41.13333333,14,27,0.519,1,6,0.167,4,6,0.667,4,10,14,9,1,0,2,1,33,29.6,16,2009
43,1/27/2009,24,28,24.07671233,CLE,SAC,W ,7,37,31,37.51666667,5,10,0.5,0,2,0,13,15,0.867,5,10,15,11,0,3,2,1,23,31.1,6,2009
44,1/29/2009,24,30,24.08219178,CLE,ORL,L ,-11,37,41,37.68333333,10,27,0.37,0,2,0,3,6,0.5,1,7,8,8,1,1,2,1,23,14.6,-9,2009
45,1/30/2009,24,31,24.08493151,CLE,LAC,W ,17,37,8,37.13333333,9,17,0.529,2,4,0.5,5,6,0.833,0,7,7,6,3,1,3,2,25,22.5,32,2009
46,2/1/2009,24,33,24.09041096,CLE,DET,W ,10,38,50,38.83333333,12,25,0.48,3,8,0.375,6,11,0.545,4,0,4,8,1,1,5,3,33,22.2,-8,2009
47,2/3/2009,24,35,24.09589041,CLE,TOR,W ,18,37,31,37.51666667,9,20,0.45,2,5,0.4,13,13,1,1,6,7,4,1,2,3,3,33,26.1,23,2009
48,2/4/2009,24,36,24.09863014,CLE,NYK,W ,5,44,3,44.05,17,33,0.515,2,7,0.286,16,19,0.842,0,9,9,11,0,2,3,1,52,42.9,7,2009
49,2/8/2009,24,40,24.10958904,CLE,LAL,L ,-10,40,8,40.13333333,5,20,0.25,2,8,0.25,4,8,0.5,3,5,8,12,0,0,1,1,16,13,-12,2009
50,2/10/2009,24,42,24.11506849,CLE,IND,L ,-1,41,10,41.16666667,15,21,0.714,4,7,0.571,13,14,0.929,0,7,7,4,1,1,7,1,47,37.1,7,2009
51,2/11/2009,24,43,24.11780822,CLE,PHO,W ,17,33,17,33.28333333,9,18,0.5,1,5,0.2,7,8,0.875,2,4,6,6,2,1,3,1,26,22.7,22,2009
52,2/18/2009,24,50,24.1369863,CLE,TOR,W ,17,33,12,33.2,9,17,0.529,0,3,0,2,2,1,1,8,9,9,1,1,5,1,20,17.4,20,2009
53,2/20/2009,24,52,24.14246575,CLE,MIL,W ,8,40,4,40.06666667,16,29,0.552,8,11,0.727,15,22,0.682,1,4,5,9,0,0,6,3,55,39.3,13,2009
54,2/22/2009,24,54,24.14794521,CLE,DET,W ,21,30,34,30.56666667,6,13,0.462,0,3,0,8,10,0.8,0,5,5,9,2,1,0,0,20,23,22,2009
55,2/24/2009,24,56,24.15342466,CLE,MEM,W ,15,29,40,29.66666667,4,10,0.4,1,2,0.5,6,8,0.75,0,5,5,8,0,1,2,1,15,14.2,13,2009
56,2/26/2009,24,58,24.15890411,CLE,HOU,L ,-19,33,51,33.85,7,21,0.333,2,5,0.4,5,6,0.833,0,1,1,0,1,2,3,4,21,6.8,-14,2009
57,2/27/2009,24,59,24.16164384,CLE,SAS,W ,11,32,8,32.13333333,12,23,0.522,3,6,0.5,3,3,1,4,10,14,4,2,0,1,2,30,27.5,29,2009
58,3/1/2009,24,61,24.16712329,CLE,ATL,W ,1,43,43,43.71666667,8,20,0.4,2,7,0.286,8,14,0.571,1,5,6,11,1,2,0,3,26,23.9,4,2009
59,3/2/2009,24,62,24.16986301,CLE,MIA,W ,7,43,40,43.66666667,13,21,0.619,6,7,0.857,10,10,1,1,7,8,4,1,1,6,4,42,32.2,8,2009
60,3/4/2009,24,64,24.17534247,CLE,MIL,W ,18,33,12,33.2,7,11,0.636,4,5,0.8,5,7,0.714,1,7,8,4,1,0,3,2,23,20.1,24,2009
61,3/6/2009,24,66,24.18082192,CLE,BOS,L ,-11,38,17,38.28333333,5,15,0.333,2,5,0.4,9,12,0.75,0,6,6,5,1,0,4,1,21,13.2,-1,2009
62,3/7/2009,24,67,24.18356164,CLE,MIA,W ,10,43,19,43.31666667,5,15,0.333,0,3,0,4,7,0.571,2,8,10,12,1,1,2,0,14,16.2,10,2009
63,3/10/2009,24,70,24.19178082,CLE,LAC,W ,4,43,42,43.7,10,23,0.435,0,6,0,12,16,0.75,4,9,13,11,2,2,4,2,32,30.1,7,2009
64,3/12/2009,24,72,24.19726027,CLE,PHO,W ,8,43,27,43.45,10,24,0.417,3,8,0.375,11,13,0.846,6,4,10,13,3,3,3,0,34,37,7,2009
65,3/13/2009,24,73,24.2,CLE,SAC,W ,3,46,59,46.98333333,16,30,0.533,4,11,0.364,15,17,0.882,0,4,4,9,2,3,3,2,51,43.4,6,2009
66,3/15/2009,24,75,24.20547945,CLE,NYK,W ,5,39,52,39.86666667,9,17,0.529,0,3,0,1,3,0.333,1,7,8,10,4,3,3,1,19,22.4,-1,2009
67,3/17/2009,24,77,24.2109589,CLE,ORL,W ,4,42,40,42.66666667,15,27,0.556,4,7,0.571,9,10,0.9,2,10,12,8,4,1,6,1,43,38,5,2009
68,3/19/2009,24,79,24.21643836,CLE,POR,W ,5,46,47,46.78333333,10,22,0.455,0,3,0,6,11,0.545,0,11,11,10,1,2,0,4,26,23.7,-1,2009
69,3/21/2009,24,81,24.22191781,CLE,ATL,W ,6,40,3,40.05,9,21,0.429,1,4,0.25,3,5,0.6,1,6,7,5,3,1,2,2,22,17,10,2009
70,3/22/2009,24,82,24.22465753,CLE,NJN,W ,8,39,9,39.15,9,17,0.529,1,4,0.25,11,15,0.733,2,9,11,8,1,0,1,0,30,29.8,14,2009
71,3/25/2009,24,85,24.23287671,CLE,NJN,W ,11,39,6,39.1,7,14,0.5,1,1,1,7,7,1,1,7,8,11,1,0,1,0,22,25.5,19,2009
72,3/27/2009,24,87,24.23835616,CLE,MIN,W ,22,33,36,33.6,8,14,0.571,2,3,0.667,7,10,0.7,2,10,12,7,0,0,5,0,25,21.5,25,2009
73,3/29/2009,24,89,24.24383562,CLE,DAL,W ,28,31,19,31.31666667,9,22,0.409,2,4,0.5,4,5,0.8,1,5,6,12,1,2,0,0,24,24.8,15,2009
74,3/31/2009,24,91,24.24931507,CLE,DET,W ,6,40,36,40.6,9,24,0.375,0,2,0,7,8,0.875,1,11,12,3,3,1,1,0,25,20.2,10,2009
75,4/2/2009,24,93,24.25479452,CLE,WAS,L ,-8,38,20,38.33333333,11,18,0.611,4,8,0.5,5,7,0.714,1,8,9,6,0,0,6,1,31,22.9,-13,2009
76,4/3/2009,24,94,24.25753425,CLE,ORL,L ,-29,32,0,32,7,20,0.35,2,5,0.4,10,10,1,1,8,9,5,1,0,2,1,26,20,-26,2009
77,4/5/2009,24,96,24.2630137,CLE,SAS,W ,20,36,43,36.71666667,14,21,0.667,2,5,0.4,8,8,1,0,7,7,6,1,0,2,1,38,33.8,7,2009
78,4/8/2009,24,99,24.27123288,CLE,WAS,W ,12,30,51,30.85,7,15,0.467,0,2,0,7,8,0.875,0,6,6,7,3,0,2,1,21,20.2,25,2009
79,4/10/2009,24,101,24.27671233,CLE,PHI,W ,10,36,34,36.56666667,8,17,0.471,1,4,0.25,10,12,0.833,0,2,2,10,0,1,1,4,27,23.2,8,2009
80,4/12/2009,24,103,24.28219178,CLE,BOS,W ,31,30,22,30.36666667,9,14,0.643,5,8,0.625,6,6,1,0,4,4,7,1,1,5,1,29,25.2,21,2009
81,4/13/2009,24,104,24.28493151,CLE,IND,W ,8,38,42,38.7,12,23,0.522,2,7,0.286,11,14,0.786,0,5,5,5,1,0,5,1,37,25.1,8,2009
,4/15/2009,24,106,24.29041096,CLE,PHI,L ,-1,Did Not Dress,,#VALUE!,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2009
1,10/27/2009,24,301,24.82465753,CLE,BOS,L ,-6,44,55,44.91666667,12,22,0.545,4,9,0.444,10,13,0.769,0,4,4,8,2,4,5,4,38,31.2,0,2010
2,10/28/2009,24,302,24.82739726,CLE,TOR,L ,-10,39,47,39.78333333,7,19,0.368,1,5,0.2,8,14,0.571,2,9,11,12,2,0,4,1,23,20.2,2,2010
3,10/30/2009,24,304,24.83287671,CLE,MIN,W ,17,33,26,33.43333333,10,18,0.556,2,3,0.667,2,3,0.667,2,7,9,6,1,1,2,1,24,22,17,2010
4,10/31/2009,24,305,24.83561644,CLE,CHA,W ,11,37,14,37.23333333,5,11,0.455,0,1,0,4,6,0.667,1,6,7,9,0,0,4,1,14,11.9,19,2010
5,11/3/2009,24,308,24.84383562,CLE,WAS,W ,12,35,59,35.98333333,7,16,0.438,2,7,0.286,11,13,0.846,3,5,8,6,3,0,4,0,27,24.6,5,2010
6,11/5/2009,24,310,24.84931507,CLE,CHI,L ,-1,38,13,38.21666667,9,17,0.529,1,4,0.25,6,9,0.667,0,7,7,6,1,1,3,0,25,20.5,-1,2010
7,11/6/2009,24,311,24.85205479,CLE,NYK,W ,9,35,37,35.61666667,12,17,0.706,2,4,0.5,7,9,0.778,0,8,8,9,3,0,7,3,33,28.6,8,2010
8,11/11/2009,24,316,24.86575342,CLE,ORL,W ,9,39,7,39.11666667,13,23,0.565,2,3,0.667,8,9,0.889,2,6,8,4,1,0,4,2,36,26.9,7,2010
9,11/12/2009,24,317,24.86849315,CLE,MIA,W ,7,38,53,38.88333333,8,20,0.4,2,4,0.5,16,18,0.889,1,3,4,7,2,1,2,2,34,28.8,6,2010
10,11/14/2009,24,319,24.8739726,CLE,UTA,W ,4,37,33,37.55,6,15,0.4,0,3,0,9,12,0.75,0,6,6,9,2,1,2,1,21,20.1,6,2010
11,11/17/2009,24,322,24.88219178,CLE,GSW,W ,6,38,32,38.53333333,11,19,0.579,1,5,0.2,8,10,0.8,0,5,5,12,1,2,2,2,31,30.8,8,2010
12,11/18/2009,24,323,24.88493151,CLE,WAS,L ,-17,35,8,35.13333333,12,20,0.6,3,7,0.429,7,8,0.875,0,2,2,9,2,0,6,4,34,25.7,-12,2010
13,11/20/2009,24,325,24.89041096,CLE,IND,W ,10,37,53,37.88333333,13,25,0.52,1,3,0.333,13,14,0.929,2,7,9,7,1,1,2,1,40,35,4,2010
14,11/21/2009,24,326,24.89315068,CLE,PHI,W ,6,38,32,38.53333333,13,20,0.65,2,4,0.5,4,6,0.667,0,7,7,9,0,0,5,3,32,24.6,11,2010
15,11/25/2009,24,330,24.90410959,CLE,DET,W ,10,38,49,38.81666667,12,24,0.5,1,4,0.25,9,11,0.818,1,7,8,7,1,0,5,2,34,24.1,12,2010
16,11/27/2009,24,332,24.90958904,CLE,CHA,L ,-7,38,1,38.01666667,10,19,0.526,2,7,0.286,3,4,0.75,0,6,6,4,0,0,6,4,25,12.3,3,2010
17,11/28/2009,24,333,24.91232877,CLE,DAL,W ,16,36,21,36.35,10,20,0.5,0,2,0,5,7,0.714,0,5,5,12,0,0,1,2,25,22.3,8,2010
18,12/2/2009,24,337,24.92328767,CLE,PHO,W ,17,34,37,34.61666667,6,15,0.4,0,3,0,0,0,,1,7,8,10,1,1,3,0,12,12.4,19,2010
19,12/4/2009,24,339,24.92876712,CLE,CHI,W ,14,34,12,34.2,8,17,0.471,1,3,0.333,6,10,0.6,0,6,6,11,0,0,1,1,23,20.8,19,2010
20,12/6/2009,24,341,24.93424658,CLE,MIL,W ,15,32,18,32.3,4,10,0.4,0,0,,6,7,0.857,1,4,5,10,1,1,5,2,14,13,8,2010
21,12/8/2009,24,343,24.93972603,CLE,MEM,L ,-2,44,47,44.78333333,14,29,0.483,4,11,0.364,11,12,0.917,4,9,13,6,0,1,5,2,43,32.5,6,2010
22,12/9/2009,24,344,24.94246575,CLE,HOU,L ,-10,39,40,39.66666667,8,21,0.381,2,4,0.5,9,10,0.9,1,5,6,7,1,1,5,2,27,18.1,-13,2010
23,12/11/2009,24,346,24.94794521,CLE,POR,W ,5,37,36,37.6,14,24,0.583,1,2,0.5,4,6,0.667,1,6,7,7,1,2,4,1,33,26.4,8,2010
24,12/13/2009,24,348,24.95342466,CLE,OKC,W ,13,38,35,38.58333333,16,29,0.552,5,8,0.625,7,10,0.7,0,7,7,6,4,1,1,1,44,38.5,13,2010
25,12/15/2009,24,350,24.95890411,CLE,NJN,W ,10,40,28,40.46666667,9,19,0.474,1,5,0.2,4,6,0.667,1,5,6,7,2,0,6,3,23,14.4,7,2010
26,12/16/2009,24,351,24.96164384,CLE,PHI,W ,7,40,17,40.28333333,12,26,0.462,3,6,0.5,9,11,0.818,1,5,6,7,3,1,3,2,36,28.8,10,2010
27,12/18/2009,24,353,24.96712329,CLE,MIL,W ,3,38,22,38.36666667,6,13,0.462,2,4,0.5,12,14,0.857,1,9,10,8,0,3,6,1,26,23.2,3,2010
28,12/20/2009,24,355,24.97260274,CLE,DAL,L ,-7,43,5,43.08333333,9,23,0.391,2,6,0.333,5,7,0.714,0,3,3,6,2,2,2,3,25,17,-5,2010
29,12/21/2009,24,356,24.97534247,CLE,PHO,W ,18,38,26,38.43333333,11,21,0.524,1,3,0.333,6,6,1,1,5,6,4,2,0,3,3,29,21.5,26,2010
30,12/23/2009,24,358,24.98082192,CLE,SAC,W ,13,43,41,43.68333333,14,30,0.467,1,4,0.25,5,7,0.714,4,12,16,10,0,0,2,1,34,28.8,26,2010
31,12/25/2009,24,360,24.98630137,CLE,LAL,W ,15,40,44,40.73333333,9,19,0.474,2,7,0.286,6,11,0.545,0,4,4,9,2,1,7,3,26,16.3,8,2010
32,12/27/2009,24,362,24.99178082,CLE,HOU,W ,25,29,26,29.43333333,12,20,0.6,2,5,0.4,3,4,0.75,2,3,5,6,3,1,1,0,29,28.6,16,2010
33,12/29/2009,24,364,24.99726027,CLE,ATL,W ,11,39,36,39.6,6,20,0.3,0,5,0,2,3,0.667,1,7,8,10,5,1,4,2,14,12.7,6,2010
34,12/30/2009,25,0,25,CLE,ATL,W ,5,43,12,43.2,15,23,0.652,4,6,0.667,14,16,0.875,3,7,10,6,2,2,3,3,48,44.7,7,2010
35,1/2/2010,25,3,25.00821918,CLE,NJN,W ,8,36,27,36.45,7,16,0.438,1,4,0.25,13,15,0.867,1,8,9,7,1,2,1,0,28,28.2,10,2010
36,1/3/2010,25,4,25.0109589,CLE,CHA,L ,-3,42,51,42.85,13,21,0.619,2,6,0.333,1,2,0.5,0,7,7,6,1,1,1,3,29,24.9,-2,2010
37,1/6/2010,25,7,25.01917808,CLE,WAS,W ,23,30,50,30.83333333,7,12,0.583,1,4,0.25,8,11,0.727,2,5,7,8,1,2,1,0,23,26.1,16,2010
38,1/8/2010,25,9,25.02465753,CLE,DEN,L ,-2,41,18,41.3,12,28,0.429,2,8,0.25,9,13,0.692,2,4,6,7,1,0,8,1,35,18.7,6,2010
39,1/10/2010,25,11,25.03013699,CLE,POR,W ,12,45,16,45.26666667,13,19,0.684,3,4,0.75,12,14,0.857,0,10,10,8,0,1,3,1,41,38,16,2010
40,1/11/2010,25,12,25.03287671,CLE,GSW,W ,3,41,37,41.61666667,12,23,0.522,1,4,0.25,12,14,0.857,1,7,8,11,2,4,2,1,37,37.8,12,2010
41,1/14/2010,25,15,25.04109589,CLE,UTA,L ,-1,40,25,40.41666667,12,20,0.6,4,6,0.667,8,12,0.667,1,8,9,6,5,1,5,1,36,32.8,7,2010
42,1/16/2010,25,17,25.04657534,CLE,LAC,W ,1,38,54,38.9,12,20,0.6,3,6,0.5,5,7,0.714,2,2,4,4,2,1,5,3,32,23.3,-1,2010
43,1/19/2010,25,20,25.05479452,CLE,TOR,W ,8,41,1,41.01666667,8,18,0.444,0,7,0,12,14,0.857,0,9,9,11,3,3,3,1,28,29.9,12,2010
44,1/21/2010,25,22,25.06027397,CLE,LAL,W ,6,40,24,40.4,13,25,0.52,1,9,0.111,10,13,0.769,0,5,5,9,2,1,4,3,37,28.8,5,2010
45,1/23/2010,25,24,25.06575342,CLE,OKC,W ,1,42,38,42.63333333,9,19,0.474,6,10,0.6,13,19,0.684,0,9,9,12,1,1,6,2,37,30.9,-1,2010
46,1/25/2010,25,26,25.07123288,CLE,MIA,W ,1,38,31,38.51666667,9,23,0.391,2,9,0.222,12,17,0.706,0,9,9,4,1,0,4,3,32,18.8,1,2010
47,1/27/2010,25,28,25.07671233,CLE,MIN,W ,14,30,33,30.55,3,8,0.375,1,3,0.333,5,6,0.833,0,6,6,11,1,1,3,1,12,15,16,2010
48,1/29/2010,25,30,25.08219178,CLE,IND,W ,21,35,39,35.65,6,18,0.333,0,4,0,10,17,0.588,0,9,9,13,2,4,5,2,22,19.8,22,2010
